@RELATION Untitled

@ATTRIBUTE fLength:	real
@ATTRIBUTE fWidth:	real
@ATTRIBUTE fSize:	real
@ATTRIBUTE fConc:	real
@ATTRIBUTE fConc1:	real
@ATTRIBUTE fAsym:	real
@ATTRIBUTE fM3Long:	real
@ATTRIBUTE fM3Trans:	real
@ATTRIBUTE fAlpha:	real
@ATTRIBUTE fDist:	real
@ATTRIBUTE class:	{g,h}

@DATA
44.3528,17.3022,2.8228,0.2421,0.1286,-53.742,13.1133,-9.5446,6.9645,220.4,g
112.1744,9.8195,2.5044,0.4748,0.2346,-91.7594,-122.0252,6.8037,86.7379,243.5942,h
26.5592,7.5306,2.2625,0.6339,0.3634,-11.2799,9.7917,-4.739,16.044,199.603,g
13.4531,10.3005,2.3375,0.8046,0.4115,-14.8165,-3.3077,11.8799,23.934,146.809,g
24.3869,17.5422,2.7694,0.3367,0.1811,27.9233,18.324,6.7891,22.1766,228.483,g
18.787,14.9261,2.4778,0.589,0.3544,17.4658,19.5301,5.2635,28.2602,91.751,g
18.8081,10.8706,2.235,0.6902,0.4476,3.7371,-4.2867,9.0518,14.6227,218.0525,h
68.8411,12.4469,2.8494,0.2588,0.1322,5.77,60.1914,4.2285,56.877,257.925,h
28.771,10.1493,2.2889,0.4884,0.2905,7.0959,19.2467,5.4223,50.347,57.9541,h
77.4596,22.4927,3.0615,0.283,0.1463,60.5712,77.0023,-18.4307,26.0459,186.964,h
34.9008,11.0774,2.7243,0.3792,0.2028,1.7319,-22.9433,10.0725,3.8104,181.119,g
38.8166,14.9294,2.7164,0.4131,0.2795,24.6566,31.8315,-13.3747,27.0738,156.033,h
84.2237,27.3557,3.455,0.1708,0.0858,59.6588,86.462,-10.9931,0.0759,189.846,g
119.6872,49.1045,3.542,0.1032,0.0488,-3.8804,-121.4758,24.9493,37.48,251.1602,h
80.3034,33.2955,3.5595,0.1748,0.0942,-57.4312,62.086,17.8903,2.6827,304.529,g
21.6023,11.8935,2.5384,0.6136,0.3111,7.3504,21.0175,-6.0192,47.6795,130.388,h
25.3092,10.3855,2.2589,0.4518,0.2286,-12.8814,-18.5686,4.6308,65.202,114.698,g
89.7464,26.389,3.0676,0.2037,0.1125,-21.4687,57.6075,-16.9868,2.036,305.043,g
23.0991,12.3089,2.721,0.4715,0.2367,22.5661,11.8269,-9.8127,14.7613,251.344,h
87.1697,38.9333,3.0953,0.1638,0.0911,83.1497,74.4686,39.114,26.8614,198.429,g
30.9955,22.3031,2.8591,0.2725,0.1404,34.0777,17.6726,-16.2964,32.5233,121.915,g
63.2871,15.1315,2.7451,0.3453,0.1844,-19.512,-54.7983,12.4676,10.81,197.131,g
35.3852,18.0039,2.9279,0.3377,0.1848,26.9396,26.6055,8.6959,7.802,157.049,g
57.8276,21.7883,3.1697,0.2327,0.1377,33.7419,49.5686,14.7685,1.965,243.866,g
33.3893,25.4757,3.0212,0.259,0.1348,-15.2355,17.186,-25.5749,38.976,187.149,g
98.5681,37.7214,3.2964,0.144,0.072,23.0117,113.518,23.9109,34.082,281.275,h
21.0283,3.2145,2.3988,0.7551,0.4142,20.1762,23.5583,-3.0622,65.069,262.1984,h
72.8641,22.9807,3.1635,0.1599,0.0827,18.8737,44.6984,11.5621,0.343,234.499,g
13.2918,10.5394,2.2028,0.79,0.442,14.1392,4.5837,-11.6262,58.693,177.332,g
19.7907,19.353,2.646,0.5332,0.2678,14.7705,4.8395,-9.4805,80.0427,63.7561,h
68.0676,34.4459,3.8903,0.1468,0.0804,8.3381,36.7097,28.2082,6.31,235.98,g
164.031,49.9716,3.6349,0.1623,0.0896,145.029,129.694,-26.5435,9.083,174.283,g
93.5964,26.9103,3.1206,0.2023,0.1155,81.6777,87.7648,-7.915,0.25,231.475,g
173.8034,120.502,3.2411,0.2114,0.1236,-235.3878,-122.8551,-48.6002,47.9885,247.0455,h
97.6967,38.7353,3.7623,0.1796,0.1057,8.5151,61.5963,-33.6818,1.141,369.88,g
31.7847,27.1539,2.9791,0.2697,0.1495,14.9426,-22.2961,-22.7852,10.4772,221.642,g
19.8728,10.4742,2.2577,0.6409,0.3674,-5.6843,16.2479,6.6265,72.232,230.067,h
49.3531,19.755,2.8382,0.3788,0.2184,-25.0469,-43.7949,-11.6485,22.18,147.028,g
111.47,36.4754,3.3589,0.2123,0.1114,10.3615,-81.1925,-25.5691,14.1968,374.977,h
19.8723,7.3787,2.2999,0.7268,0.4135,1.2087,-7.3216,5.1661,47.741,152.917,g
19.5014,12.4493,2.3531,0.5322,0.2993,3.1483,-12.526,-10.1548,27.644,214.814,g
36.6648,9.1386,2.7554,0.488,0.3044,26.5284,33.2072,-7.7703,1.3797,89.5982,h
34.9659,11.642,2.7418,0.509,0.3318,23.2215,31.5732,-3.919,19.0641,133.7538,h
133.596,35.5859,3.0312,0.1796,0.0926,219.896,-125.078,-25.4451,74.6605,230.868,g
36.9247,15.4856,2.9482,0.3346,0.182,42.2854,19.0956,6.7274,7.671,162.898,g
21.9698,10.8805,2.4962,0.6092,0.4226,22.4502,15.1204,6.4752,0.727,209.816,h
77.0826,25.4232,3.4002,0.2006,0.1041,-53.2658,69.2391,-20.8604,5.0251,275.476,g
38.0433,25.083,3.1359,0.2384,0.1239,28.8149,25.6803,15.0552,0.4688,166.196,g
17.2647,10.7718,2.2695,0.6398,0.3629,-3.1312,7.9802,7.2753,24.6514,171.788,g
168.821,56.9345,3.3298,0.117,0.0704,-227.626,88.1297,51.8025,40.991,208.336,h
115.524,27.1455,3.1543,0.2593,0.148,-172.656,108.1819,8.9205,34.0787,290.8101,h
27.3838,10.6979,2.6593,0.4466,0.2267,18.3774,1.7313,-1.1545,36.9013,117.5229,h
40.7886,21.025,2.736,0.3416,0.1717,-29.8496,-32.0692,-15.2147,5.9571,227.62,g
